"","ID","Year","Ave..art.rating","face","modern","renaissance","contemporary","postrenaissance","contmodern","mean_red","mean_green","mean_blue","median_red","median_green","median_blue","per_red","per_green","sd_red","sd_green","sd_blue","per_edges","k_vals","k_edges","Benses","liked"
"12","5772898cedc2cb38800df3fd",1778,1.8,1,0,0,0,1,0,0.250878781404704,0.250002454756941,0.212629891710151,0.203921568627451,0.203921568627451,0.188235294117647,0.351611588950273,0.350383399769291,0.164498338859903,0.150117958373477,0.100675448699415,0.0138069557561083,0.965755466285127,0.91746826619708,0.365059855102124,1
"13","5772849eedc2cb3880fe72ab",1968,0,0,1,0,0,0,0,0.102284597496091,0.447955017747871,0.709599476516491,0.101960784313725,0.454901960784314,0.725490196078431,0.0811886201698679,0.355565262800279,0.0854175910438112,0.0497779745446832,0.0957545135875172,0.00446621285073883,0.880251628018522,0.981186931577103,0.622541572016716,0
"14","577282b3edc2cb3880f89e19",1976,0.3,0,1,0,0,0,0,0.464978638772476,0.300801686416364,0.432531258956053,0.384313725490196,0.223529411764706,0.356862745098039,0.388028159724652,0.251021262246258,0.167666381617746,0.208432787154253,0.17173276385621,0.00898741305572044,0.984140754607857,0.979554459715183,0.587917560348129,1
"15","577284a7edc2cb3880fe813a",1912,0.58,0,1,0,0,0,0,0.57677913406742,0.375063592678451,0.277451735004347,0.631372549019608,0.325490196078431,0.203921568627451,0.469195259568831,0.30510476077835,0.277732663006572,0.205633876386337,0.176734680266637,0.049699815270936,0.94104525862069,0.74090671182266,0.312084086117441,1
"16","57727ca4edc2cb3880e54008",1435,0.58,1,0,1,0,0,0,0.399500800509652,0.371969100513181,0.326458938126733,0.364705882352941,0.337254901960784,0.313725490196078,0.363867662697609,0.338791629520635,0.224060731137962,0.194675514477557,0.164869841132808,0.126275220233021,0.937332259796028,0.535124798711755,0.305618965210337,1
"17","57726ff3edc2cb3880bc56a7",1807,1.2,1,0,0,0,1,0,0.312834743421178,0.215526966342092,0.146231489421165,0.290196078431373,0.172549019607843,0.109803921568627,0.463738359354032,0.319491756813823,0.200283525801521,0.186550941300901,0.127049456739304,0.0802785876255264,0.946521973868913,0.706460425440017,0.349979110042861,1
"18","577288deedc2cb38800bdf0f",1958,0.8,0,1,0,0,0,0,0.702343858357114,0.618374371720519,0.604674632544724,0.862745098039216,0.72156862745098,0.709803921568627,0.364779506557707,0.321167894472353,0.27180665646305,0.271642771447574,0.26156226237585,0.145809076682316,0.852532081377152,0.638946270213876,0.379971215886676,1
"19","57726e25edc2cb3880b60a8b",1907,0.91,1,1,0,0,0,0,0.364274484580479,0.351038990520907,0.31568142976317,0.294117647058824,0.270588235294118,0.247058823529412,0.353323263637597,0.340485669584394,0.213413531336735,0.190157104687652,0.162007374776703,0.0727872427208835,0.937662106760375,0.703396921017403,0.363488018715234,1
"20","577288ddedc2cb38800bde1d",1955,-0.8,0,0,0,1,0,0,0.798770625007414,0.766917713485878,0.752271971341471,0.788235294117647,0.752941176470588,0.737254901960784,0.344600648086315,0.330858863386038,0.0662514801365865,0.0735028736029394,0.0767098172755153,0.0371728171002218,0.793457014182967,0.674997647375143,0.448116394403632,0
"21","577287d9edc2cb38800895a7",1964,0.09,1,1,0,0,0,0,0.532217397609932,0.369436825617821,0.233671945701357,0.670588235294118,0.435294117647059,0.250980392156863,0.468779291956198,0.325401488777705,0.256263137021135,0.161569918742915,0.100361431601922,0.185791420118343,0.648629191321499,0.492995562130178,0.381024918429982,1
"22","57727dd9edc2cb3880e90d51",1618,1.4,1,0,0,0,1,0,0.329125464316161,0.300615215107782,0.215874748812568,0.274509803921569,0.223529411764706,0.117647058823529,0.389214119475724,0.355498735086586,0.235268027950343,0.234930233756543,0.221078458176242,0.15483501552795,0.93493335921325,0.570813276397516,0.319032268092831,1
"23","57726f83edc2cb3880bb117d",1855,0.92,1,0,0,0,1,0,0.380785649382539,0.367900583874609,0.365319577836801,0.274509803921569,0.250980392156863,0.258823529411765,0.341816573657375,0.330250147899437,0.294794871561303,0.309315881840878,0.262705828995718,0.0297777755054566,0.928637893967243,0.793189654462313,0.303446014199366,1
"24","577286cdedc2cb3880056d93",1922,0.75,0,1,0,0,0,0,0.509689788460187,0.406279347958765,0.315449323287134,0.529411764705882,0.258823529411765,0.184313725490196,0.413904619053575,0.329927933722656,0.272920129892316,0.276697764473568,0.211004781446237,0.0462290133936993,0.723472300823744,0.712476891152613,0.357854469985527,1
"25","57728742edc2cb388006c6c8",1961,-0.64,0,1,0,0,0,0,0.515758141711323,0.461731840033508,0.365891282144416,0.690196078431373,0.619607843137255,0.470588235294118,0.38392536473089,0.343708709094796,0.323524665409764,0.286652318178275,0.232754721313358,0.28434194880781,0.830885676339084,0.460305539910021,0.375287781836771,0
"26","577284fbedc2cb3880ffab14",1974,-0.55,0,1,0,0,0,0,0.36501888063652,0.299368228556762,0.213297486324773,0.247058823529412,0.27843137254902,0.156862745098039,0.415888443867545,0.341088621226239,0.285223137971439,0.195109190727167,0.172709523234131,0.160359967275702,0.797067539314608,0.503657849286429,0.329693099981789,0
"27","577287afedc2cb388007fc5b",1961,0,0,0,0,1,0,0,0.0203196458638857,0.449490033132367,0.539065015479876,0.0117647058823529,0.454901960784314,0.549019607843137,0.0201409015164534,0.445536036926538,0.0254225519288517,0.0285990054827485,0.0351207927753316,0.0151454293628809,0.966168051708218,0.887479224376731,0.516480566623736,0
"29","5772819cedc2cb3880f501c7",1938,-0.22,0,1,0,0,0,0,0.630546602262207,0.499050369267801,0.501807421587449,0.733333333333333,0.525490196078431,0.525490196078431,0.386505396774918,0.305902308080809,0.289520484698496,0.35185152126219,0.326079130752672,0.0665951187428896,0.950964674879124,0.727129106228669,0.290149645530157,0
"31","57727fe2edc2cb3880ef5ab8",1970,0.77,0,1,0,0,0,0,0.198514687384388,0.222495597484277,0.308550351461339,0.0235294117647059,0.0901960784313725,0.266666666666667,0.272101697239314,0.304972042630374,0.291385052114823,0.25338080296865,0.195907444021678,0.058199460916442,0.858866127583109,0.841123090745732,0.406338297139562,1
"32","57727014edc2cb3880bce964",1636,1.7,1,0,0,0,1,0,0.347129048261991,0.295960648048188,0.24857832821378,0.188235294117647,0.156862745098039,0.156862745098039,0.389303012684923,0.331917978337504,0.337519277425025,0.277853046495208,0.20512744312799,0.18693534967944,0.874112954534332,0.548351522863342,0.353973477323069,1
"33","57726f48edc2cb3880ba012f",1800,1.2,1,0,0,0,1,0,0.308594341264367,0.195590798430339,0.167451972877,0.23921568627451,0.125490196078431,0.12156862745098,0.459465886396235,0.291214995075867,0.265738488884019,0.214159467551979,0.175902390251903,0.00364782865811329,0.840174850346989,0.970046705452177,0.365203000078877,1
"34","577271d3edc2cb3880c2e4cf",1827,1.6,1,0,0,0,1,0,0.269485479980705,0.182309549388497,0.0519936483073691,0.235294117647059,0.145098039215686,0.0352941176470588,0.534917698475375,0.361877027942134,0.1966359331818,0.132323974959936,0.0554035738178785,0.0575430535455861,0.73800820067535,0.652019247467438,0.414533065999583,1
"35","577284e7edc2cb3880ff375a",1916,1.36,0,1,0,0,0,0,0.507052596292067,0.386530235623661,0.289815319231141,0.517647058823529,0.372549019607843,0.27843137254902,0.428471681995333,0.326627378324922,0.18980703097874,0.143237135834298,0.13236288151581,0.0327151550275283,0.943445378151261,0.750462667825751,0.315355852581759,1
"36","57726e47edc2cb3880b699f7",1868,1.7,0,0,0,0,1,0,0.513909549208367,0.403535933607871,0.352659018022947,0.572549019607843,0.447058823529412,0.403921568627451,0.404619894558925,0.317718686408281,0.19956619708797,0.165538800214798,0.1541582168362,0.0750786825898123,0.940959519913898,0.651900884397745,0.361627145471649,1
"37","57728984edc2cb38800de804",1767,1.82,1,0,0,0,1,0,0.400402972380662,0.337218562865561,0.201120509136297,0.317647058823529,0.258823529411765,0.137254901960784,0.426531414861722,0.359223883582816,0.241565814698476,0.209106711193756,0.15745468237306,0.0333612139156181,0.909249198124846,0.806994571922033,0.332813170020906,1
"38","57727023edc2cb3880bcfefa",1481,1.7,1,0,1,0,0,0,0.473008892747366,0.428408461536456,0.421053114025826,0.427450980392157,0.384313725490196,0.384313725490196,0.357670665683715,0.323945578976927,0.248075081714845,0.240577636054041,0.237410248206894,0.264019412312193,0.914722333023091,0.435402207153304,0.273179060149023,1
"39","5772842cedc2cb3880fd1c07",1953,0.46,0,1,0,0,0,0,0.784878388746803,0.760010443307758,0.741836082693947,0.909803921568627,0.890196078431372,0.874509803921569,0.343232534741995,0.332357616959512,0.286276845778542,0.292528992691693,0.295945538577417,0.0841576086956522,0.911065217391304,0.678802536231884,0.384155758585271,1
"40","57727ffeedc2cb3880efda19",1908,1.25,1,1,0,0,0,0,0.44118063843895,0.504826291360684,0.416990412946262,0.450980392156863,0.505882352941176,0.431372549019608,0.323684151540712,0.370379512511492,0.136876993948122,0.174385730089581,0.148965647926653,0.0466717518433766,0.866158148995678,0.666551402661242,0.315452293110333,1
"41","577283d7edc2cb3880fbee6c",1948,0.31,0,1,0,0,0,0,0.355934923401873,0.338807540906224,0.301118372073992,0.32156862745098,0.305882352941176,0.254901960784314,0.357414319750705,0.340215749559039,0.187708027493251,0.205948746984105,0.189579265547323,0.178524849857492,0.833990471888572,0.463785012045331,0.326085881609315,1
"42","57728204edc2cb3880f63d8a",1958,-0.18,0,1,0,0,0,0,0.288814314448606,0.247098447395263,0.21686714087809,0.168627450980392,0.196078431372549,0.180392156862745,0.383663688953821,0.328247933428862,0.241894225993518,0.172417576518737,0.142840151802584,0.119009607919255,0.960277562111801,0.622435461956522,0.373823903226747,0
"43","57728228edc2cb3880f6c6a5",1912,1.1,1,1,0,0,0,0,0.623080468156255,0.50561720626235,0.399952039317019,0.650980392156863,0.474509803921569,0.384313725490196,0.407601861013409,0.330760671800181,0.156803678756971,0.175909403311471,0.185943362782045,0.239273901808786,0.903345391903531,0.426454780361757,0.334377538855434,1
"44","57728943edc2cb38800d2c83",1949,1.7,1,1,0,0,0,0,0.328835246889453,0.251840148850238,0.157065468047684,0.262745098039216,0.2,0.117647058823529,0.44573272680233,0.341366679293531,0.191907033626025,0.159722226746965,0.130280534307077,0.0408056478405316,0.949053848283499,0.814323781838317,0.362589460455015,1
"45","57727f7bedc2cb3880ee1357",1912,1,0,1,0,0,0,0,0.579510554070113,0.547760710041592,0.403651411170529,0.631372549019608,0.584313725490196,0.427450980392157,0.378536789236123,0.357797763979562,0.145341462680736,0.130893997405793,0.127152964057548,0.0673617424242424,0.93067297979798,0.680502525252525,0.338799309220758,1
"46","57727fb8edc2cb3880eecaef",1936,1.6,0,1,0,0,0,0,0.287056972893285,0.274218439979185,0.259630139768835,0.188235294117647,0.168627450980392,0.141176470588235,0.349683312495164,0.334043836220712,0.289947153541968,0.281882363044483,0.261855036879038,0.116212554066321,0.923750912230113,0.732863423577366,0.45118688666074,1
"50","577283d0edc2cb3880fbe34c",1955,-0.6,0,1,0,0,0,0,0.632852753197836,0.557469133087114,0.465014542684053,0.713725490196078,0.611764705882353,0.505882352941176,0.382310654271046,0.336770896436033,0.241784591571308,0.251343400040365,0.240752208272892,0.138847177769136,0.56543328048817,0.557868445454817,0.296915871598611,0
"51","5772812dedc2cb3880f3ad4d",1927,1.3,0,1,0,0,0,0,0.395456298965502,0.399236435744276,0.368787062286283,0.364705882352941,0.388235294117647,0.333333333333333,0.339890989071331,0.343139981265723,0.181413346636035,0.157280019311332,0.161747092445197,0.10867825607064,0.768255610743193,0.688021983075791,0.364186410449501,1
"52","57727cd1edc2cb3880e5de05",1890,1.3,1,1,0,0,0,0,0.5543208536419,0.53135673314234,0.344500688320869,0.596078431372549,0.525490196078431,0.231372549019608,0.38758864072464,0.371531816971061,0.258878885765875,0.227727874247144,0.27029640597643,0.0647549019607843,0.903470377398271,0.617269924098672,0.285046276209858,1
"53","577280f3edc2cb3880f30270",1998,0.4,0,1,0,0,0,0,0.592141342268995,0.553070799410107,0.565797589814742,0.611764705882353,0.580392156862745,0.603921568627451,0.346077132917304,0.323242345867451,0.266978391727619,0.298090052938163,0.29413804796509,0.309121940364931,0.851732532265243,0.412212579735944,0.262853641274425,1
"54","57726ea4edc2cb3880b7e54e",1850,1.8,1,0,0,0,1,0,0.538773371874214,0.384337182200728,0.21282147197172,0.533333333333333,0.372549019607843,0.192156862745098,0.474300714761328,0.338345229633432,0.203418151885917,0.153403453501986,0.118235143802945,0.0970036966173165,0.902302800636536,0.654096929392752,0.332351932263223,1
"55","577287c8edc2cb388008244b",1986,-0.36,1,1,0,0,0,0,0.569540789837062,0.429454515327258,0.327314369879407,0.576470588235294,0.427450980392157,0.329411764705882,0.429417654529501,0.323796563810107,0.0943263340988183,0.152943158902451,0.151290940055473,0.0213990610328639,0.89075117370892,0.911308294209703,0.358037835600223,0
"56","5772857fedc2cb38800120d4",1782,2.22,1,0,0,0,1,0,0.280675580741851,0.236722725037467,0.202340692128762,0.16078431372549,0.0901960784313725,0.0745098039215686,0.3899685602109,0.328900790044032,0.290206452132384,0.275965514475363,0.23211609746929,0.0305971337579618,0.958210920912951,0.814026837845011,0.36198661358786,1
"57","57727b73edc2cb3880e18b92",1870,1.91,0,0,0,0,1,0,0.721762315886985,0.679267475683187,0.499313787247182,0.788235294117647,0.729411764705882,0.388235294117647,0.379806222375935,0.357444560686188,0.191655239771716,0.238904483571089,0.382073297181638,0.10720157480315,0.937690288713911,0.676591076115486,0.337755306233663,1
"59","57727759edc2cb3880d461ff",1827,1.77,1,0,0,0,1,0,0.197017708297894,0.174664554485762,0.0997896806495878,0.125490196078431,0.125490196078431,0.0745098039215686,0.417877905656946,0.37046648675181,0.201984009558761,0.15559453328441,0.0919036893554502,0.0298532388663968,0.958451176016966,0.81768001735107,0.472403775666653,1
"60","57727696edc2cb3880d1f359",1443,1.62,1,0,1,0,0,0,0.390959188481559,0.362125935902964,0.354268191671742,0.329411764705882,0.301960784313725,0.294117647058824,0.353057314962422,0.327019326760714,0.233449090268528,0.220426485356044,0.210848294914939,0.129776316783798,0.943364820272551,0.592930300511348,0.297603012230421,1
"62","57726ecdedc2cb3880b8857f",1892,0.85,1,1,0,0,0,0,0.349358123696778,0.272839425346681,0.278304993561998,0.294117647058824,0.247058823529412,0.243137254901961,0.387959064153186,0.302985735672955,0.241828156859674,0.161905237420916,0.150572982519871,0.236247952448142,0.916961297891089,0.463011955540419,0.343374467270465,1
"63","5772845fedc2cb3880fdc0e9",1911,2.6,0,1,0,0,0,0,0.60029100576652,0.551580681833011,0.367223661684129,0.650980392156863,0.592156862745098,0.309803921568627,0.3951634807187,0.363098130800751,0.269718505629463,0.251001236304368,0.247877235094563,0.198862708820809,0.930483756870001,0.474414087843919,0.272061406431183,1
"64","57727043edc2cb3880bd8d6a",1864,2.1,1,0,0,0,1,0,0.447110267306137,0.384109364746881,0.27623525056235,0.411764705882353,0.329411764705882,0.180392156862745,0.403727749387171,0.346839741082515,0.255425589393465,0.272945165825161,0.271617498754429,0.290986902963621,0.912275962810996,0.436716772124042,0.281952894269005,1
"65","577281caedc2cb3880f59ad8",1866,1.5,1,0,0,0,1,0,0.494972742114327,0.388153149848199,0.314418960607097,0.501960784313725,0.388235294117647,0.27843137254902,0.413322925694384,0.324124101920127,0.258852608316954,0.193607697697752,0.167012036720902,0.0437434037572199,0.939526285827593,0.714928456751035,0.303678185875005,1
"66","577287c4edc2cb3880081d4b",1575,1.64,1,0,1,0,0,0,0.354404316873808,0.310909161458701,0.287076025263046,0.305882352941176,0.235294117647059,0.203921568627451,0.372121191524923,0.326451688395269,0.23617893985402,0.242866963669984,0.241722637148385,0.149450405162065,0.91046262254902,0.620487257402961,0.30244564550352,1
"67","57728736edc2cb388006b3a6",1953,-0.3,0,1,0,0,0,0,0.581934118998077,0.558638156732962,0.519464397222648,0.635294117647059,0.619607843137255,0.576470588235294,0.35055497777808,0.336521575598076,0.238077785475355,0.221691136717474,0.215764983646116,0.145794903790509,0.951748129762249,0.764035260235822,0.356785102271052,0
"68","577278cfedc2cb3880d93a9e",1510,1.4,1,0,1,0,0,0,0.50214372002671,0.412241225034906,0.370071517027864,0.525490196078431,0.356862745098039,0.27843137254902,0.390938684842499,0.320946047765835,0.247484541751704,0.262524786160773,0.255282331206357,0.181961300309598,0.858251805985552,0.472774509803922,0.284119002854715,1
"69","57727e83edc2cb3880eb0d2b",1490,1.82,1,0,1,0,0,0,0.389269706221814,0.278243044424734,0.206661840538413,0.372549019607843,0.250980392156863,0.184313725490196,0.445299726332872,0.318292303654777,0.239364465421373,0.201722387717769,0.148687271712069,0.00861156510706418,0.938857833813079,0.897299374570861,0.313713907699956,1
"70","577281a6edc2cb3880f510b1",1915,1,1,1,0,0,0,0,0.360866322669419,0.308606044523072,0.2493042999656,0.337254901960784,0.298039215686275,0.231372549019608,0.392768270645826,0.335887986225897,0.189269173292949,0.179333673847704,0.144470218349383,0.0659197994987469,0.920696741854637,0.706985797827903,0.354618607986004,1
"71","577272d6edc2cb3880c69b39",1895,1.54,0,1,0,0,0,0,0.513837173888824,0.540800361955553,0.355246063778772,0.584313725490196,0.549019607843137,0.294117647058824,0.36445361448716,0.38357802168924,0.27513760747071,0.224748871608092,0.252883794571397,0.0677263463438735,0.939652554759552,0.706659667325428,0.278847549537298,1
"72","57728a18edc2cb38800fd615",1811,0.82,1,0,0,0,1,0,0.433745038363171,0.413081389599318,0.372532549019608,0.329411764705882,0.309803921568627,0.274509803921569,0.355715623168401,0.338769302065328,0.219400752592469,0.205730506008192,0.187357234567358,0.0252065217391304,0.913158695652174,0.846863768115942,0.34468225949406,1
"73","57728261edc2cb3880f7748f",1765,1.62,1,0,0,0,1,0,0.365300155038443,0.295680809761509,0.237340647192044,0.27843137254902,0.203921568627451,0.180392156862745,0.406647407968293,0.329148053229897,0.230204790139015,0.191864539491885,0.123105306759502,0.112430237798114,0.940484464549824,0.632035727491218,0.372292664530895,1
"74","57728108edc2cb3880f3227e",1785,1.9,1,0,0,0,1,0,0.297428984952742,0.210692364984836,0.142112198057226,0.243137254901961,0.156862745098039,0.0980392156862745,0.457418701126628,0.32402567605835,0.160794441814632,0.157916670410404,0.133168786101182,0.033825304257299,0.982292731912698,0.831818572670125,0.4088572125976,1
"75","57728225edc2cb3880f6c23d",1961,0,0,1,0,0,0,0,0.827361301897277,0.80638915297293,0.706137004048583,0.909803921568627,0.882352941176471,0.768627450980392,0.35359021167607,0.34462732380537,0.218903168861669,0.218034027400593,0.251220905341474,0.0834704453441295,0.933903373819163,0.805309581646424,0.463103632368335,0
"76","57727b79edc2cb3880e18fc4",1763,1.92,1,0,0,0,1,0,0.453294466142772,0.429760297154433,0.375138028364073,0.43921568627451,0.368627450980392,0.250980392156863,0.36027425140805,0.34156951144744,0.243919578923321,0.279555798496823,0.285873131969029,0.00304131694644285,0.973318610736411,0.96591867131295,0.301000088048568,1
"78","57728172edc2cb3880f46baf",1953,0.1,0,1,0,0,0,0,0.450845989835855,0.26246373425239,0.239950720771592,0.396078431372549,0.113725490196078,0.0941176470588235,0.472951534144633,0.275332660310878,0.315695480398651,0.303155259739154,0.293653252342506,0.101845415425356,0.712505516936997,0.706523777998455,0.337121981829482,1
"79","577270e8edc2cb3880bfa325",1981,0.5,1,1,0,0,0,0,0.472510757240719,0.399678413301348,0.328419039522963,0.4,0.388235294117647,0.356862745098039,0.393559491997081,0.332896618522791,0.286527964744791,0.239977292317797,0.239234685956274,0.034729149077849,0.908832518342982,0.825844942636972,0.287685153718739,1
"80","577279ceedc2cb3880dc81af",1911,1.6,1,1,0,0,0,0,0.457382432756583,0.405975894409748,0.217890723771946,0.372549019607843,0.380392156862745,0.172549019607843,0.423013025870108,0.37546936485859,0.252446489610928,0.207333027561897,0.158536098190115,0.176465937908841,0.930086475403907,0.517967311305254,0.352270236499435,1
"81","57727802edc2cb3880d64fcf",1937,1.64,1,1,0,0,0,0,0.364875725280892,0.315806326995831,0.164276236635344,0.298039215686275,0.266666666666667,0.0980392156862745,0.431826907989376,0.373753747539953,0.256901945730304,0.215847114287919,0.177804082890797,0.0221071673632337,0.961134074660171,0.775043309727753,0.316019881224533,1
"82","57727029edc2cb3880bd081a",1493,1.4,1,0,1,0,0,0,0.488213458983238,0.399709786324386,0.289316203186359,0.427450980392157,0.341176470588235,0.243137254901961,0.414710413933035,0.339531423990019,0.203503978255828,0.182340232747778,0.138847431524332,0.0323846774149309,0.935351330001701,0.807693749440004,0.330508947989302,1
"83","577283cbedc2cb3880fbda39",1957,0,1,1,0,0,0,0,0.608629726273588,0.604291816792817,0.605655761459989,0.945098039215686,0.945098039215686,0.945098039215686,0.334673552099614,0.332288220736478,0.432529505061661,0.437032053640995,0.437177554592287,0.0144366003231492,0.968182805767724,0.942567567567568,0.593748996134972,0
"84","5772839fedc2cb3880fb4537",1885,0.9,0,1,0,0,0,0,0.538216653610597,0.524551571476048,0.347337552817737,0.529411764705882,0.501960784313725,0.27843137254902,0.381685304779378,0.371994484169554,0.145900554586215,0.144638535475566,0.191636322625145,0.108908898305085,0.936678268765133,0.528447841000807,0.399645335499556,1
"85","57727f93edc2cb3880ee394c",1913,2.4,1,1,0,0,0,0,0.715576180721045,0.482636359587245,0.30021438094309,0.733333333333333,0.427450980392157,0.192156862745098,0.477551604667811,0.322095360636061,0.176964171307953,0.241879672724716,0.261999313894231,0.190183536101008,0.918678084832606,0.483701938486838,0.298200492342965,1
"87","57727564edc2cb3880ce16c4",1865,1.55,1,0,0,0,1,0,0.447682501213439,0.442615153691181,0.372665772378806,0.43921568627451,0.43921568627451,0.407843137254902,0.354469885304899,0.350457617480837,0.173458644926786,0.198394343597207,0.152367961486441,0.0924754153950492,0.895666610150333,0.645324403752685,0.320717895081997,1
"88","57726e43edc2cb3880b694c1",1568,1.9,1,0,1,0,0,0,0.436641034172592,0.402795208450482,0.331053393358022,0.419607843137255,0.368627450980392,0.258823529411765,0.373041350175307,0.344125395106862,0.206768748820588,0.199574373185795,0.213663450910746,0.172542281803269,0.947121443520561,0.458113298263476,0.302591687321107,1
"89","577282e6edc2cb3880f940ee",1935,2.2,1,1,0,0,0,0,0.329204854172097,0.330979279983781,0.320523474382367,0.27843137254902,0.27843137254902,0.270588235294118,0.335680942317538,0.337490274473458,0.18727836215734,0.189032643596248,0.179030663930254,0.0590841949778434,0.976171344165436,0.7641329394387,0.351000052364168,1
"90","57727f92edc2cb3880ee392c",1912,1.8,1,1,0,0,0,0,0.720871289654073,0.59966862745098,0.440328774111271,0.819607843137255,0.717647058823529,0.466666666666667,0.40938389855528,0.340552722893129,0.230828519007006,0.279848053796599,0.253666899821925,0.115808943089431,0.900676151761518,0.599231707317073,0.293774292645399,1
"91","57728415edc2cb3880fca475",1622,1.6,1,0,0,0,1,0,0.368702202338425,0.294325173794214,0.208870570090384,0.364705882352941,0.27843137254902,0.2,0.422873117129828,0.337568376057315,0.208056030444276,0.162932224368653,0.127337602077604,0.0710511856564488,0.953500578368999,0.641311933680355,0.344196655736658,1
"92","577286aaedc2cb388004e49a",1815,1.5,1,0,0,0,1,0,0.372400084823376,0.315123625131302,0.236919729244279,0.388235294117647,0.305882352941176,0.141176470588235,0.402837068264626,0.34087929208991,0.215000714288114,0.19235208002132,0.197586890369103,0.0233537458873164,0.955749623495952,0.885976995209084,0.328757290480673,1
"93","577287ceedc2cb3880082ecd",1995,1,1,1,0,0,0,0,0.484872035480859,0.522731465919701,0.498638857765328,0.427450980392157,0.509803921568627,0.454901960784314,0.321908378509131,0.347043397590527,0.305265591152863,0.271620386499189,0.273995982888816,0.119579365079365,0.911634920634921,0.602371693121693,0.278139438211064,1
"94","57727ca6edc2cb3880e542d2",1618,2.3,1,0,0,0,1,0,0.634799036177234,0.589320992167385,0.542032461757588,0.690196078431373,0.670588235294118,0.650980392156863,0.359424817355662,0.333675033990571,0.17381227288557,0.213372251259509,0.220794087346019,0.0245472301136364,0.96075377801452,0.80590217496142,0.317642584292653,1
"95","577280e0edc2cb3880f28f46",1963,0.19,0,1,0,0,0,0,0.398866647563688,0.479187914466413,0.553664045123965,0.403921568627451,0.474509803921569,0.541176470588235,0.278592906155313,0.334694200432954,0.188021223542228,0.163558158761667,0.153494042381661,0.0353612125956855,0.974469743099049,0.912313703317096,0.490652574732995,1
